version,precision,N,result,elapsed_ms
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.002
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.002
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.002
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,int,1048576,1048576,0.104
parallel_reduction,int,1048576,1048576,0.050
multistage_reduction,int,1048576,1048576,0.043
sequential_reduction,int,1048576,1048576,0.101
parallel_reduction,int,1048576,1048576,0.049
multistage_reduction,int,1048576,1048576,0.043
sequential_reduction,int,1048576,1048576,0.103
parallel_reduction,int,1048576,1048576,0.049
multistage_reduction,int,1048576,1048576,0.053
sequential_reduction,int,1048576,1048576,0.107
parallel_reduction,int,1048576,1048576,0.052
multistage_reduction,int,1048576,1048576,0.053
sequential_reduction,int,1048576,1048576,0.107
parallel_reduction,int,1048576,1048576,0.048
multistage_reduction,int,1048576,1048576,0.053
sequential_reduction,int,1048576,1048576,0.106
parallel_reduction,int,1048576,1048576,0.055
multistage_reduction,int,1048576,1048576,0.044
sequential_reduction,int,1048576,1048576,0.109
parallel_reduction,int,1048576,1048576,0.049
multistage_reduction,int,1048576,1048576,0.054
sequential_reduction,int,1048576,1048576,0.110
parallel_reduction,int,1048576,1048576,0.048
multistage_reduction,int,1048576,1048576,0.053
sequential_reduction,int,1048576,1048576,0.114
parallel_reduction,int,1048576,1048576,0.051
multistage_reduction,int,1048576,1048576,0.053
sequential_reduction,int,1048576,1048576,0.107
parallel_reduction,int,1048576,1048576,0.049
multistage_reduction,int,1048576,1048576,0.054
sequential_reduction,float,1048576,1048576.000,0.419
parallel_reduction,float,1048576,1048576.000,0.037
multistage_reduction,float,1048576,1048576.000,0.043
sequential_reduction,float,1048576,1048576.000,0.421
parallel_reduction,float,1048576,1048576.000,0.048
multistage_reduction,float,1048576,1048576.000,0.055
sequential_reduction,float,1048576,1048576.000,0.414
parallel_reduction,float,1048576,1048576.000,0.051
multistage_reduction,float,1048576,1048576.000,0.053
sequential_reduction,float,1048576,1048576.000,0.420
parallel_reduction,float,1048576,1048576.000,0.048
multistage_reduction,float,1048576,1048576.000,0.053
sequential_reduction,float,1048576,1048576.000,0.421
parallel_reduction,float,1048576,1048576.000,0.048
multistage_reduction,float,1048576,1048576.000,0.053
sequential_reduction,float,1048576,1048576.000,0.417
parallel_reduction,float,1048576,1048576.000,0.048
multistage_reduction,float,1048576,1048576.000,0.053
sequential_reduction,float,1048576,1048576.000,0.419
parallel_reduction,float,1048576,1048576.000,0.052
multistage_reduction,float,1048576,1048576.000,0.058
sequential_reduction,float,1048576,1048576.000,0.419
parallel_reduction,float,1048576,1048576.000,0.037
multistage_reduction,float,1048576,1048576.000,0.053
sequential_reduction,float,1048576,1048576.000,0.421
parallel_reduction,float,1048576,1048576.000,0.048
multistage_reduction,float,1048576,1048576.000,0.058
sequential_reduction,float,1048576,1048576.000,0.425
parallel_reduction,float,1048576,1048576.000,0.048
multistage_reduction,float,1048576,1048576.000,0.053
sequential_reduction,int,536870912,536870912,59.005
parallel_reduction,int,536870912,536870912,11.358
multistage_reduction,int,536870912,536870912,11.120
sequential_reduction,int,536870912,536870912,58.845
parallel_reduction,int,536870912,536870912,11.422
multistage_reduction,int,536870912,536870912,11.126
sequential_reduction,int,536870912,536870912,58.907
parallel_reduction,int,536870912,536870912,11.362
multistage_reduction,int,536870912,536870912,11.135
sequential_reduction,int,536870912,536870912,57.816
parallel_reduction,int,536870912,536870912,11.398
multistage_reduction,int,536870912,536870912,11.132
sequential_reduction,int,536870912,536870912,58.121
parallel_reduction,int,536870912,536870912,11.373
multistage_reduction,int,536870912,536870912,11.135
sequential_reduction,int,536870912,536870912,57.983
parallel_reduction,int,536870912,536870912,11.404
multistage_reduction,int,536870912,536870912,11.132
sequential_reduction,int,536870912,536870912,58.618
parallel_reduction,int,536870912,536870912,11.367
multistage_reduction,int,536870912,536870912,11.127
sequential_reduction,int,536870912,536870912,58.394
